"","Circle.results","Rectangle.results","line.results","normal.Sir.results"
"1",129,84,234,212
"2",240,131,98,467
"3",73,81,74,148
"4",164,67,204,317
"5",151,257,74,179
"6",167,133,82,75
"7",98,148,105,113
"8",178,178,77,183
"9",210,58,65,145
"10",211,140,101,130
"11",236,200,158,313
"12",163,150,179,103
"13",218,103,153,263
"14",155,96,126,143
"15",117,225,230,165
"16",141,67,187,94
"17",127,125,82,107
"18",161,113,115,140
"19",191,134,63,176
"20",239,70,31,289
"21",147,90,145,116
"22",237,67,180,92
"23",198,67,75,146
"24",111,143,102,120
"25",171,51,100,40
"26",176,196,136,78
"27",134,153,127,150
"28",115,74,165,126
"29",91,246,52,166
"30",158,106,185,461
"31",212,146,244,207
"32",135,160,114,250
"33",142,138,170,46
"34",197,74,127,279
"35",203,160,104,143
"36",167,51,133,256
"37",172,111,47,41
"38",149,153,145,93
"39",138,151,92,223
"40",196,78,314,26
"41",166,161,48,167
"42",143,122,218,132
"43",112,30,81,128
"44",85,68,178,149
"45",111,71,166,153
"46",274,157,48,330
"47",198,155,96,324
"48",214,85,219,184
"49",117,97,91,190
"50",181,60,52,222
"51",191,100,124,231
"52",291,134,139,278
"53",113,34,74,216
"54",192,127,95,121
"55",133,198,85,236
"56",203,157,89,110
"57",167,176,100,169
"58",124,55,119,200
"59",220,56,116,137
"60",181,125,210,112
"61",139,107,132,186
"62",90,129,282,224
"63",113,88,180,38
"64",252,166,107,175
"65",204,71,121,107
"66",189,135,86,78
"67",214,103,90,126
"68",184,54,138,175
"69",130,173,152,150
"70",98,91,147,326
"71",91,100,110,278
"72",184,83,91,138
"73",84,65,140,119
"74",145,108,137,297
"75",119,158,134,207
"76",212,243,179,195
"77",107,101,150,90
"78",113,82,145,325
"79",98,220,143,162
"80",219,118,105,239
"81",156,124,101,293
"82",165,212,37,322
"83",119,155,102,379
"84",71,147,98,302
"85",147,152,65,237
"86",181,162,183,133
"87",220,103,289,364
"88",252,128,200,241
"89",176,89,69,150
"90",139,78,52,185
"91",146,182,120,297
"92",163,226,136,129
"93",128,119,95,231
"94",173,149,100,96
"95",84,63,171,164
"96",153,182,94,28
"97",138,107,118,267
"98",255,137,210,303
"99",324,135,137,67
"100",224,133,177,180
